Date,Open,High,Low,Close,aClose,Volume
2020-01-06,4686,4702,4560,4569,4569,17288900
2020-01-07,4635,4666,4610,4646,4646,15551200
2020-01-08,4600,4624,4521,4583,4583,18647700
2020-01-09,4740,4830,4700,4797,4797,18788900
2020-01-10,4850,4920,4813,4878,4878,16713200
2020-01-14,4999,5063,4961,5049,5049,22720900
2020-01-15,5000,5030,4970,4979,4979,10487400
2020-01-16,4993,4995,4857,4872,4872,15234400
2020-01-17,4900,4932,4866,4881,4881,11768300
2020-01-20,4890,4896,4857,4866,4866,6761100
2020-01-21,4890,4955,4865,4875,4875,10434800
2020-01-22,4850,4885,4840,4884,4884,7155400
2020-01-23,4850,4850,4766,4769,4769,9144600
2020-01-24,4750,4793,4750,4772,4772,6306000
2020-01-27,4578,4656,4570,4575,4575,10540500
2020-01-28,4526,4605,4524,4589,4589,9830400
2020-01-29,4651,4742,4644,4692,4692,12474600
2020-01-30,4672,4675,4537,4549,4549,9994600
2020-01-31,4600,4643,4520,4524,4524,11165700
2020-02-03,4400,4538,4398,4502,4502,12061400
2020-02-04,4500,4534,4442,4517,4517,9552100
2020-02-05,4600,4643,4572,4577,4577,8749000
2020-02-06,4650,4759,4641,4727,4727,11536900
2020-02-07,5107,5116,4953,5064,5064,33639900
2020-02-10,5100,5187,5030,5140,5140,24210900
2020-02-12,5780,5871,5642,5751,5751,57563500
2020-02-13,5711,5837,5445,5458,5458,46678600
2020-02-14,5595,5650,5455,5517,5517,28571200
2020-02-17,5450,5580,5439,5540,5540,15564100
2020-02-18,5455,5495,5247,5269,5269,18882200
2020-02-19,5348,5374,5311,5351,5351,15760000
2020-02-20,5490,5575,5486,5531,5531,20071100
2020-02-21,5595,5711,5570,5664,5664,20695300
2020-02-25,5342,5544,5335,5460,5460,20408300
2020-02-26,5390,5415,5322,5415,5415,16281700
2020-02-27,5381,5394,5151,5239,5239,20185700
2020-02-28,5020,5103,4970,5013,5013,24729900
2020-03-02,4971,5172,4933,5038,5038,22682600
2020-03-03,5175,5193,5088,5088,5088,19391000
2020-03-04,4988,5069,4956,5008,5008,15184000
2020-03-05,5100,5120,5034,5092,5092,14482000
2020-03-06,4990,5025,4770,4783,4783,21564400
2020-03-09,4363,4480,4232,4284,4284,33107500
2020-03-10,4300,4465,4120,4388,4388,33668200
2020-03-11,4318,4378,4215,4229,4229,25563800
2020-03-12,4100,4129,3821,3964,3964,36443900
2020-03-13,3754,3995,3583,3764,3764,60864800
2020-03-16,3895,3920,3600,3670,3670,48466100
2020-03-17,3476,3724,3448,3643,3643,56229400
2020-03-18,3522,3577,3222,3246,3246,60106200
2020-03-19,3230,3245,2610,2687,2687,70879800
2020-03-23,2660,3187,2652,3187,3187,49073400
2020-03-24,3850,3856,3582,3791,3791,75331900
2020-03-25,3861,4242,3822,4170,4170,65578100
2020-03-26,3830,4020,3708,3778,3778,50468400
2020-03-27,3918,3959,3756,3887,3887,36696500
2020-03-30,3550,3693,3465,3693,3693,36173400
2020-03-31,3738,3855,3632,3788,3788,31377600
2020-04-01,3788,3887,3620,3675,3675,45510900
2020-04-02,3629,3840,3596,3768,3768,45236000
2020-04-03,3797,3877,3702,3732,3732,27963700
2020-04-06,3720,4050,3676,4016,4016,34559400
2020-04-07,4179,4242,4040,4129,4129,33346200
2020-04-08,4171,4182,3988,4139,4139,31831600
2020-04-09,4149,4282,4139,4183,4183,30410000
2020-04-10,4218,4370,4177,4347,4347,27097400
2020-04-13,4310,4360,4200,4200,4200,22743900
2020-04-14,4050,4443,4025,4420,4420,64398400
2020-04-15,4443,4567,4280,4333,4333,66127100
2020-04-16,4270,4464,4257,4430,4430,47464200
2020-04-17,4570,4820,4542,4735,4735,66289500
2020-04-20,4735,4912,4734,4790,4790,54842700
2020-04-21,4675,4787,4565,4593,4593,37316800
2020-04-22,4560,4574,4300,4377,4377,36411500
2020-04-23,4467,4489,4354,4449,4449,24865100
2020-04-24,4399,4483,4387,4395,4395,20251800
2020-04-27,4430,4607,4425,4592,4592,19378300
2020-04-28,4582,4632,4522,4610,4610,21355800
2020-04-30,4748,4775,4633,4633,4633,25629800
2020-05-01,4567,4661,4525,4608,4608,21139600
2020-05-07,4518,4539,4427,4495,4495,15944000
2020-05-08,4589,4668,4530,4668,4668,17377800
2020-05-11,4700,4745,4676,4685,4685,11934200
2020-05-12,4680,4749,4648,4704,4704,12076700
2020-05-13,4646,4666,4541,4657,4657,18234300
2020-05-14,4561,4635,4521,4530,4530,17091200
2020-05-15,4600,4615,4501,4574,4574,16681100
2020-05-18,4614,4713,4572,4621,4621,25380600
2020-05-19,4697,4784,4425,4494,4494,41866700
2020-05-20,4445,4589,4384,4539,4539,27771800
2020-05-21,4562,4584,4456,4480,4480,18193400
2020-05-22,4505,4664,4497,4607,4607,28275800
2020-05-25,4662,4731,4577,4607,4607,19463100
2020-05-26,4650,4820,4644,4805,4805,25658500
2020-05-27,4763,4837,4721,4734,4734,24286400
2020-05-28,4800,4875,4771,4827,4827,28688000
2020-05-29,4820,4888,4803,4832,4832,21512900
2020-06-01,4901,5037,4888,5018,5018,27294300
2020-06-02,5029,5220,5028,5185,5185,27313200
2020-06-03,5298,5315,5010,5121,5121,33204300
2020-06-04,5221,5267,5081,5175,5175,28472400
2020-06-05,5150,5237,5132,5220,5220,21335800
2020-06-08,5289,5348,5248,5324,5324,22764100
2020-06-09,5324,5423,5320,5358,5358,25035500
2020-06-10,5324,5383,5307,5355,5355,18864100
2020-06-11,5290,5378,5163,5185,5185,24753200
2020-06-12,5085,5136,4965,5071,5071,34513100
2020-06-15,5071,5156,4896,4905,4905,24198000
2020-06-16,5034,5074,4915,5042,5042,26553200
2020-06-17,5060,5354,5047,5295,5295,33935400
2020-06-18,5330,5449,5288,5446,5446,32340500
