Date,Open,High,Low,Close,Volume
2020-01-06,23319,23365,23148,23204,728304300.0
2020-01-07,23321,23577,23299,23575,642505100.0
2020-01-08,23217,23303,22951,23204,794100900.0
2020-01-09,23530,23767,23512,23739,621912400.0
2020-01-10,23813,23902,23761,23850,558610400.0
2020-01-14,23969,24056,23951,24025,642326800.0
2020-01-15,23923,23997,23876,23916,571553500.0
2020-01-16,23960,23975,23905,23933,553626700.0
2020-01-17,24103,24115,24013,24041,593805900.0
2020-01-20,24088,24107,24061,24083,382873800.0
2020-01-21,24072,24080,23843,23864,445890600.0
2020-01-22,23840,24040,23837,24031,489705800.0
2020-01-23,23843,23909,23779,23795,555113500.0
2020-01-24,23850,23869,23755,23827,486584700.0
2020-01-27,23427,23463,23321,23343,624169500.0
2020-01-28,23126,23241,23115,23215,643739400.0
2020-01-29,23309,23392,23214,23379,549198400.0
2020-01-30,23284,23318,22893,22977,695560800.0
2020-01-31,23148,23421,23141,23205,753660200.0
2020-02-03,22874,23021,22775,22971,725327500.0
2020-02-04,22881,23113,22854,23084,679445800.0
2020-02-05,23351,23414,23241,23319,703366800.0
2020-02-06,23641,23994,23625,23873,950797300.0
2020-02-07,23901,23943,23759,23827,653615000.0
2020-02-10,23631,23788,23625,23685,565473300.0
2020-02-12,23741,23869,23693,23861,746482500.0
2020-02-13,23849,23908,23784,23827,645166400.0
2020-02-14,23714,23738,23604,23687,691046300.0
2020-02-17,23489,23687,23341,23523,540376400.0
2020-02-18,23398,23401,23133,23193,595037100.0
2020-02-19,23329,23467,23238,23400,615892700.0
2020-02-20,23666,23806,23426,23479,632707600.0
2020-02-21,23427,23588,23379,23386,620668800.0
2020-02-25,22949,22949,22336,22605,1058393500.0
2020-02-26,22374,22456,22127,22426,993403400.0
2020-02-27,22255,22270,21844,21948,1062165100.0
2020-02-28,21518,21525,20916,21142,1484857200.0
2020-03-02,20849,21589,20835,21344,1237307400.0
2020-03-03,21651,21719,21082,21082,1053374800.0
2020-03-04,20897,21245,20862,21100,946262600.0
2020-03-05,21399,21399,21220,21329,857310900.0
2020-03-06,21009,21061,20613,20749,1117265000.0
2020-03-09,20343,20347,19472,19698,1702816100.0
2020-03-10,19474,19967,18892,19867,1646669900.0
2020-03-11,19721,19974,19392,19416,1292294100.0
2020-03-12,19064,19139,18339,18559,1645960300.0
2020-03-13,18183,18184,16690,17431,2334061300.0
2020-03-16,17586,17771,16914,17002,1580714700.0
2020-03-17,16726,17557,16389,17011,1987638600.0
2020-03-18,17154,17396,16698,16726,1772187500.0
2020-03-19,16995,17158,16358,16552,1988559400.0
2020-03-23,16570,17049,16483,16887,1702716800.0
2020-03-24,17206,18098,17199,18092,1472513300.0
2020-03-25,18446,19564,18446,19546,1476925700.0
2020-03-26,19234,19238,18512,18664,1281038400.0
2020-03-27,19021,19389,18832,19389,1488888200.0
2020-03-30,18884,19084,18578,19084,1209841100.0
2020-03-31,19181,19334,18834,18917,1221877100.0
2020-04-01,18686,18783,17871,18065,1057750900.0
2020-04-02,17934,18130,17707,17818,1072791300.0
2020-04-03,17951,18056,17646,17820,959832500.0
2020-04-06,17857,18672,17802,18576,1056500000.0
2020-04-07,18878,19162,18553,18950,1081923500.0
2020-04-08,19047,19448,18730,19353,1059482100.0
2020-04-09,19376,19402,19162,19345,822667600.0
2020-04-10,19500,19500,19236,19498,874941000.0
2020-04-13,19312,19354,19015,19043,656321900.0
2020-04-14,19150,19705,19098,19638,818776500.0
2020-04-15,19589,19659,19476,19550,940973900.0
2020-04-16,19311,19362,19155,19290,814484400.0
2020-04-17,19575,19918,19554,19897,878434600.0
2020-04-20,19689,19781,19615,19669,650056800.0
2020-04-21,19479,19529,19193,19280,794355500.0
2020-04-22,19109,19137,18858,19137,764031100.0
2020-04-23,19313,19429,19221,19429,725803300.0
2020-04-24,19331,19352,19175,19262,847021600.0
2020-04-27,19410,19818,19410,19783,775758100.0
2020-04-28,19776,19841,19638,19771,685789600.0
2020-04-30,20105,20365,20084,20193,1034414900.0
2020-05-01,19991,19999,19551,19619,866435700.0
2020-05-07,19468,19720,19448,19674,828637400.0
2020-05-08,19991,20179,19952,20179,822091200.0
2020-05-11,20494,20534,20390,20390,761761100.0
2020-05-12,20413,20457,20294,20366,676674500.0
2020-05-13,20140,20329,20056,20267,795084000.0
2020-05-14,20140,20185,19904,19914,769069400.0
2020-05-15,20149,20198,19832,20037,751686800.0
2020-05-18,20122,20196,20093,20133,718995600.0
2020-05-19,20469,20659,20433,20433,929846900.0
2020-05-20,20454,20684,20454,20595,717576200.0
2020-05-21,20692,20733,20505,20552,628629000.0
2020-05-22,20583,20615,20335,20388,711488200.0
2020-05-25,20653,20741,20584,20741,550881700.0
2020-05-26,20927,21327,20918,21271,871911300.0
2020-05-27,21249,21473,21143,21419,1120168200.0
2020-05-28,21612,21917,21580,21916,1340312400.0
2020-05-29,21811,21955,21710,21877,1531900700.0
2020-06-01,21910,22161,21898,22062,721657900.0
2020-06-02,22175,22401,22118,22325,778906000.0
2020-06-03,22649,22816,22463,22613,941363100.0
2020-06-04,22756,22778,22504,22695,919549200.0
2020-06-05,22613,22863,22565,22863,856148300.0
2020-06-08,23121,23178,23028,23178,1084660000.0
2020-06-09,23135,23185,22933,23091,914626200.0
2020-06-10,22939,23175,22901,23124,755834100.0
2020-06-11,22848,22939,22466,22472,1058771400.0
2020-06-12,22082,22350,21789,22305,1205374700.0
2020-06-15,22135,22251,21530,21530,785119700.0
2020-06-16,21912,22622,21899,22582,1001134100.0
2020-06-17,22517,22535,22318,22455,724821600.0
2020-06-18,22363,22431,22125,22355,652272500.0
2020-06-19,22515,22523,22352,22478,969596800.0
2020-06-22,22497,22575,22437,22437,545973000.0
2020-06-23,22636,22692,22257,22549,713104300.0
